0.995,
1.916153846153846,
0.55,
0.17,
1.0828571428571427,
0.31714285714285717,
0.7244444444444444,
0.23705882352941177,
0.12333333333333332,
0.2325,
0.16303030303030305,
0.2991666666666667,
0.225,
0.5466666666666667,
0.2425,
1.4307142857142856,
0.22285714285714284,
0.5283333333333333,
0.75,
0.30272727272727273,
1.745,
1.66,
1.4566666666666666,
1.0766666666666667,
0.38303030303030305,
0.543125,
2.4971428571428573,
0.6214285714285714,
0.4175,
0.5446428571428572,
0.5697674418604651,
0.35454545454545455,
1.1764999999999999,
1.675,
0.275625,
0.315,
0.9551724137931035,
0.18533333333333335,
0.09763157894736843,
1.52,
1.6383333333333332,
2.9457142857142857,
0.6145098039215686,
6.421428571428571,
2.072857142857143,
0.2715789473684211,
1.2155555555555555,
0.6733333333333333,
0.29333333333333333,
0.8933333333333334,
0.85,
1.6745454545454543,
0.225,
0.33813953488372095,
0.68,
1.18,
0.57,
0.8,
0.912,
0.84375,
0.18459016393442623,
1.2235294117647058,
0.2275,
0.49428571428571433,
0.23600000000000002,
0.8,
0.5238461538461539,
0.10589285714285715,
1.216,
0.5284615384615384,
1.492727272727273,
2.024545454545455,
0.9375,
1.62,
1.5921428571428573,
1.4235714285714287,
1.0271428571428571,
1.2570588235294118,
0.43285714285714294,
1.1236363636363635,
0.48241379310344823,
1.7430769230769232,
2.645,
0.22972222222222222,
0.094375,
2.5485714285714285,
0.2823529411764706,
1.305,
2.45,
0.67125,
0.11692307692307692,
0.43142857142857144,
0.19399999999999998,
0.3862222222222222,
1.65,
1.47,
0.685,
0.5666666666666668,
1.0572727272727274,
0.14666666666666667,
0.22596491228070176,
0.5466666666666667,
0.8127272727272729,
0.36,
0.67875,
1.055,
0.8745454545454545,
1.2642857142857142,
1.0741176470588236,
0.51,
1.25,
0.9442857142857143,
0.7733333333333333,
0.5274193548387096,
0.8951515151515151,
3.6879999999999997,
0.75125,
0.1316417910447761,
0.6687878787878787,
1.8791304347826088,
0.5314285714285715,
0.576923076923077,
1.2314285714285713,
0.38272727272727275,
0.6821052631578948,
0.15257142857142858,
4.084,
1.06,
0.3435483870967742,
0.22714285714285712,
0.5223913043478261,
1.1407142857142858,
0.81,
0.39395348837209304,
0.37,
0.5576470588235294,
1.8944444444444446,
2.2496774193548386,
0.18,
0.295,
0.77,
1.464,
0.11142857142857142,
0.83,
2.1766666666666667,
1.8923076923076922,
2.1866666666666665,
0.485,
1.04,
1.9546666666666668,
0.23,
3.2161111111111116,
0.8712000000000001,
0.25799999999999995,
0.6013333333333333,
0.3042857142857143,
0.522,
1.4533333333333331,
0.6542857142857144,
0.5716666666666668,
0.18,
2.63,
0.34,
0.485,
0.8533333333333334,
0.7841176470588235,
0.8514285714285715,
0.33972222222222226,
0.677037037037037,
0.3518918918918919,
2.795,
0.49285714285714294,
0.25058823529411767,
2.0,
1.4211111111111112,
0.4125,
0.7,
0.42,
2.351111111111111,
1.4477777777777776,
0.25384615384615383,
1.6575,
2.1261538461538465,
0.64875,
1.2371428571428573,
1.38,
0.25130434782608696,
0.236,
0.37,
0.23600000000000002,
0.7885714285714286,
0.3028571428571428,
1.1433333333333333,
0.9833333333333333,
0.885,
2.382222222222222,
0.47,
3.45,
0.294,
0.533125,
